database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
GOLD,bp,bp_medication,17950,Spirolone 50mg Tablet (Berk Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17960,Furosemide 20mg / Potassium chloride 750mg (potassium 10mmol) modified-release tablets,0,
GOLD,bp,bp_medication,18038,Nisoldipine 20mg modified-release tablets,0,
GOLD,bp,bp_medication,1807,Captopril 50mg tablets,0,
GOLD,bp,bp_medication,18185,Cardicor 7.5mg tablets (Merck Serono Ltd),0,
GOLD,bp,bp_medication,18200,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,18202,MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),0,
GOLD,bp,bp_medication,18219,Imidapril 20mg tablets,0,
GOLD,bp,bp_medication,18223,trandolapril with verapamil 2mg + 180mg modified-release capsule,0,
GOLD,bp,bp_medication,18244,ENDURONYL TAB,0,
GOLD,bp,bp_medication,18263,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18267,Enduron 5mg Tablet (Abbott Laboratories Ltd),0,
GOLD,bp,bp_medication,18269,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18287,Co-Betaloc SA tablets (Pfizer Ltd),0,
GOLD,bp,bp_medication,18325,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,1836,Diltiazem 60mg modified-release tablets,0,
GOLD,bp,bp_medication,18361,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18379,Dilcardia SR 90mg capsules (Mylan Ltd),0,
GOLD,bp,bp_medication,18403,Diltiazem HCl 180mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18404,Diltiazem 60mg modified-release capsules (A A H Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18414,Eucardic 12.5mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,1854,Adalat la 30mg Tablet (Bayer Plc),0,
GOLD,bp,bp_medication,18606,Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules,0,
GOLD,bp,bp_medication,18690,SECURON (CALENDAR PACK) 120 MG TAB,0,
GOLD,bp,bp_medication,18722,CARVEDILOL,0,
GOLD,bp,bp_medication,18733,Co-amilozide 5mg with 50mg/ml oral solution,0,
GOLD,bp,bp_medication,18743,Tenben 25mg/1.25mg capsules (Galen Ltd),0,
GOLD,bp,bp_medication,18830,Disogram SR 90mg capsules (Ranbaxy (UK) Ltd),0,
GOLD,bp,bp_medication,18834,Disogram SR 60mg capsules (Ranbaxy (UK) Ltd),0,
GOLD,bp,bp_medication,18852,Disogram SR 120mg capsules (Ranbaxy (UK) Ltd),0,
GOLD,bp,bp_medication,18874,Disogram SR 180mg capsules (Ranbaxy (UK) Ltd),0,
GOLD,bp,bp_medication,18903,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,0,
GOLD,bp,bp_medication,18910,Olmetec 20mg tablets (Daiichi Sankyo UK Ltd),0,
GOLD,bp,bp_medication,18950,Totamol 25mg Tablet (C P Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,18973,Centyl 2.5mg Tablet (Edwin Burgess Ltd),0,
GOLD,bp,bp_medication,18975,Calcicard 60mg Tablet (3M Health Care Ltd),0,
GOLD,bp,bp_medication,18983,Brinaldix k Effervescent tablet (Berk Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,19003,SPIRONOLACTONE/PROPRANOLOL 50 MG TAB,0,
GOLD,bp,bp_medication,19013,Clinium 120mg Tablet (LEO Pharma),0,
